Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Co2AgAl,Co,Ag,Al,xa,-0.0684,0.0830995,5.96059621,65.3881,487.502,9.4107,0.742295,1.568,1.336,-0.007,-0.015,2.882,22
Co2AgAs,Co,Ag,As,l21,0.902688,0.28379525,5.985909219,953.4852,175.502,9.3931,0.745442,1.072,1.072,0.012,-0.003,2.153,24
Co2AgB,Co,Ag,B,xa,-0.013303,0.744424,5.649928846,86.8704,583.502,9.4798,0.29008,1.549,1.279,-0.007,-0.012,2.809,22
Co2AgBi,Co,Ag,Bi,l21,0.988123,0.467685,6.318741552,935.9092,139.502,9.3122,0.576627,1.058,1.058,0.003,-0.045,2.074,24
Co2AgGa,Co,Ag,Ga,l21,0.005977,0.18453175,5.946062337,173.9288,187.502,7.9298,0.708884,1.084,1.084,0.04,-0.098,2.11,22
Co2AgGe,Co,Ag,Ge,l21,0.716488,0.209342,5.916765489,17.8831,0,9.0542,0.489527,0.113,0.113,-0.005,-0.011,0.21,23
Co2AgIn,Co,Ag,In,l21,0.420421,0.312825,6.179925177,68.0685,192.002,8.3727,0.737891,1.265,1.265,0.034,-0.129,2.435,22
Co2AgPb,Co,Ag,Pb,l21,0.735368,0.49627675,6.25644403,717.4846,0,8.5389,0.756041,0.883,0.883,0.002,-0.084,1.684,23
Co2AgSb,Co,Ag,Sb,l21,1.062114,0.22958875,6.141745654,303.8545,118.502,10.6113,0.125595,0.659,0.659,-0.019,-0.02,1.279,24
Co2AgSi,Co,Ag,Si,l21,0.75706,0.10823575,5.817528709,10.1974,0,10.3011,0.442589,0.125,0.125,-0.005,-0.008,0.237,23
Co2AgSn,Co,Ag,Sn,l21,0.599644,0.2216565,6.130678018,11.6834,0,8.9327,0.468412,0.128,0.128,-0.005,-0.02,0.231,23
Co2AuAl,Co,Au,Al,l21,0.313251,-0.0543,5.957267151,237.0018,315.002,9.371,0.714065,1.162,1.162,0.037,-0.037,2.324,22
Co2AuAs,Co,Au,As,l21,0.929167,0.22630075,6.042887883,639.8538,243.002,9.2012,0.665741,1.193,1.193,0.009,-0.015,2.38,24
Co2AuB,Co,Au,B,l21,0.251938,0.67154075,5.708953877,263.549,264.002,9.1059,0.5371,1.259,1.259,0.058,-0.067,2.509,22
Co2AuBi,Co,Au,Bi,l21,1.017263,0.389041,6.357693236,919.9759,190.502,9.2036,0.814387,1.131,1.131,-0.009,-0.056,2.197,24
Co2AuGa,Co,Au,Ga,l21,0.172173,0.05072075,5.977443736,141.737,291.002,7.9945,0.67437,1.225,1.225,0.041,-0.09,2.401,22
Co2AuGe,Co,Au,Ge,l21,0.732644,0.1452165,5.98819883,458.9236,186.002,8.9397,0.69568,1.019,1.019,0.011,-0.047,2.002,23
Co2AuIn,Co,Au,In,l21,0.254397,0.17185625,6.192484808,428.4624,270.002,8.4758,0.698442,1.316,1.316,0.034,-0.117,2.549,22
Co2AuPb,Co,Au,Pb,l21,0.875449,0.40422025,6.291745629,320.0751,127.502,8.5428,0.788108,1.149,1.149,0.011,-0.081,2.228,23
Co2AuSb,Co,Au,Sb,l21,1.069743,0.1879435,6.184067409,181.4352,130.502,10.4504,0.111564,0.779,0.779,-0.026,-0.018,1.514,24
Co2AuSi,Co,Au,Si,l21,0.593553,0.05630075,5.884003818,183.3513,196.502,10.2011,0.756658,0.871,0.871,0.001,-0.034,1.709,23
Co2AuSn,Co,Au,Sn,l21,0.757627,0.1367185,6.177864668,941.143,174.002,8.9535,0.679386,0.98,0.98,-0.002,-0.083,1.875,23
Co2CdAl,Co,Cd,Al,l21,0.879314,0.02550775,5.978927246,6.996,0,6.9989,0,0,0,0,0,0,23
Co2CdAs,Co,Cd,As,l21,1.216282,0.269798,6.067478228,501.6106,244.502,7.2199,0.120507,0.914,0.914,-0.032,0.005,1.801,25
Co2CdB,Co,Cd,B,l21,0.645353,0.713108,5.690134937,3.9163,0,6.711,0.002902,0.002,0.002,0,0,0.004,23
Co2CdBi,Co,Cd,Bi,l21,1.352191,0.432985,6.418454922,645.5674,234.002,7.4138,0.033867,0.938,0.938,-0.032,-0.037,1.807,25
Co2CdGa,Co,Cd,Ga,l21,0.863346,0.11935,5.992202469,0.1734,0,5.7372,0.013822,0.008,0.008,0,-0.001,0.015,23
Co2CdGe,Co,Cd,Ge,l21,1.217028,0.18839425,6.001877104,65.4252,0,6.9619,0.354179,0.425,0.425,-0.021,-0.02,0.809,24
Co2CdIn,Co,Cd,In,l21,0.873479,0.24090125,6.216728671,1.0274,0,6.4246,0.018923,0.009,0.009,-0.001,-0.001,0.016,23
Co2CdPb,Co,Cd,Pb,l21,1.198282,0.45076475,6.3346062,213.9478,0,6.7233,0.102469,0.633,0.633,-0.026,-0.055,1.185,24
